# q1 [Angstrom]    q2 [Angstrom]
   1.0117470875    3.9439468499
   1.0006871969    3.9660666310
   0.5307027602    2.9818581952
   0.5196428696    3.0039779763
  -0.0110598906    1.9425724560
   0.0050656775    1.9279456314
  -0.5545033101    3.0470836065
  -0.8848762283    3.7078294429
   0.5486645516    4.5625567503
   0.9314995738    3.7968867060
   0.9307132046    3.7984594443
  -0.0251440413    3.9113557285
   0.4851547663    2.8907581132
   0.4746321034    2.9118034391
  -0.5595689876    3.0369522515
  -0.8899419058    3.6976980880
  -0.0107074567    1.9391407391
  -0.3840132992    2.6857524240
  -0.3733058424    2.7071673375
   0.3962034497    2.7115743361
   0.3857561789    2.7324688778
   0.0110538045    1.9408159727
  -0.3788879391    2.7206994597
   0.3828350222    2.6995576027
   0.3820486530    2.7011303411
  -0.3899417435    2.6985918508
  -0.3303729182    4.8168360631
  -0.0007863692    1.9354602967
   0.5102988077    2.9410461958
   0.4997761447    2.9620915217
  -0.0105226630    1.9414939064
  -0.0104472709    1.9400619784
   0.0093696767    1.9373032559
  -0.3854414462    2.7269255016
   0.3903106973    2.7385060103
   0.4002588352    2.7186097347
  -0.3948111229    2.7081861482
  -0.0095187104    1.9379744366
  -0.3942185364    2.7073740887
  -0.3846998260    2.7264115094
   0.3960733274    2.7101122564
   0.3860246732    2.7302095647
   0.0098920024    1.9388333113
  -0.3856382281    2.7298937723
  -0.3955302305    2.7101097675
  -0.0100486541    1.9380629100
   0.3967637707    2.7124523698
   0.3868050378    2.7323698355
  -0.0099587329    1.9388422942
   0.0099481378    1.9379883400
  -0.0095501742    1.9383342278
  -0.3973356581    2.7139051956
  -0.3877854839    2.7330055441
   0.3862358409    2.7313626761
   0.3963760106    2.7110823367
  -0.0095681141    1.9384460251
  -0.3965206069    2.7123510105
  -0.3869524927    2.7314872388
   0.3879400228    2.7335197984
   0.3977918543    2.7138161354
   0.0101401697    1.9386106550
   0.3941937347    2.7075304391
   0.3845503407    2.7268172271
  -0.0096433940    1.9384297578
   0.3952956255    2.7087622586
   0.3852194322    2.7289146451
   0.0098518315    1.9379360898
  -0.0100761933    1.9383233942
  -0.0020428986    1.9352030278
  -0.9559199806    3.8429571919
  -0.3895675708    2.7102523722
  -0.2363095895    4.8275819579
   0.6044722075    3.1460183639
   0.6095283758    3.1359060274
  -0.9538770821    3.8470429891
  -0.3875246722    2.7143381694
   0.5001940901    2.9407702801
   0.5019460975    2.9372662654
   0.0206666822    3.8998250960
  -0.4245607289    4.7902799183
   0.8407817970    3.6186375428
   0.8458379652    3.6085252064
   0.6334997923    4.7281332129
   1.0078611719    3.9794104537
   1.0190965056    3.9569397863
   0.0017520073    1.9368780852
  -0.4795274080    2.8994369158
  -0.9247548191    3.7898917380
   0.4950831061    2.9107690134
   0.4839306574    2.9330739108
  -0.0020837669    3.9051027595
   0.2822998977    4.7875905619
   0.8537848885    3.6446205803
   0.8585193010    3.6351517553
  -0.4812794153    2.8959329011
  -0.9265068264    3.7863877233
   0.5714849908    3.0800207849
   0.5762194033    3.0705519600
  -0.0111524487    1.9429076987
  -0.4971668730    2.9149365473
  -0.4860144243    2.9372414447
   0.3743613796    2.7124108691
   0.3855967133    2.6899402017
   0.5663524099    4.6220923335
  -0.4452274111    4.7489465539
   0.0050561682    1.9269616124
   0.0047344125    1.9275819784
   0.0112353337    1.9412174425
  -0.0101987170    1.9384831528
  -0.3965025923    2.7110909034
  -0.3863038753    2.7314883373
   0.3852754514    2.7344563850
   0.3966375016    2.7117322846
  -0.0099199340    1.9394834839
  -0.3887986011    2.6972408181
  -0.3788786671    2.7170806862
   0.0107569053    1.9417330790
  -0.4574262689    2.8780994272
  -0.9707963372    3.9048395639
  -0.5688392819    3.1009254533
  -0.4681831741    2.8565856167
  -0.9815532425    3.8833257534
  -0.5795961872    3.0794116428
  -0.0055976490    1.9301083861
  -0.5060808138    2.9310747157
  -0.9475545062    3.8140221005
  -0.5133700683    4.8196921017
  -0.1114130130    4.0157779911
  -0.5004831648    2.9422700137
  -0.9419568572    3.8252173985
   0.9215918422    3.7832619267
   0.9235266073    3.7793923964
   0.5367272389    4.5529911334
   0.4019570553    5.0425181277
  -0.4414736924    4.8261837281
   0.0019347651    1.9362087120
  -0.3848646033    2.7098074490
  -0.3867993685    2.7059379187
   0.0113620502    1.9411813818
  -0.0069067325    1.9313565688
  -0.4781237147    2.8737905332
  -0.4712169822    2.8876039982
   0.4527606210    2.8508884925
   0.4592887268    2.8378322810
  -0.5214616744    4.7993330834
   0.6666167780    4.5878215723
   0.9956813230    3.9296924823
   0.9957580264    3.9295390754
   0.0108188560    5.8994174162
   0.0065281058    1.9323110390
  -0.9742222954    3.8938118414
   0.4554882930    2.8995278933
   0.4717167747    2.8670709300
   0.0025426637    3.8054191520
  -0.9807504012    3.8807556299
   0.0162284817    1.9560943439
  -0.4529456293    2.8944425659
   0.3290645450    2.5964589263
   0.3291412485    2.5963055194
  -0.6557979220    4.5661838603
   0.5301143359    4.7673738416
   0.9704492785    3.8867039566
   0.9770690643    3.8734643850
  -0.4691741110    2.8619856026
   0.0000767034    1.9381764294
  -0.9848624670    3.9080547703
   0.4806086513    2.8793755684
   0.4735437048    2.8935054612
  -0.9849391704    3.9079013634
  -0.0070649464    1.9322881587
   0.4403349425    2.8264752847
   0.4469547283    2.8132357131
   0.0066197858    1.9325658281
  -0.0091556894    1.9374107786
  -0.4154602263    2.7500198524
  -0.4063045369    2.7683312312
   0.4104149118    2.7628368661
   0.4074583512    2.7687499873
  -0.5176770045    4.6190206988
  -0.0641264120    3.7119195138
  -0.0029565606    1.9479201636
  -0.9280919164    3.7981908751
  -0.4745413239    2.8910896901
   0.4772372125    2.8963653034
   0.4830840833    2.8846715617
  -0.4345313305    4.7199023894
   0.4399425718    4.7011888301
   0.9093748377    3.7623242984
   0.9156625060    3.7497489617
  -0.9251353558    3.8041039964
  -0.4715847633    2.8970028113
   0.4217363853    2.7621205674
   0.4129659699    2.7796613981
  -0.0087704154    1.9361886275
   0.4074219922    2.7685166721
   0.4160942738    2.7511721088
   0.4535505925    4.7472735229
   0.0058468708    1.9301971368
  -0.9117685430    3.7654279645
   0.4694322658    2.8824391547
   0.4757199342    2.8698638180
  -0.9176154138    3.7537342228
   0.0086722817    1.9363281245
   0.0062876684    1.9309992863
  -0.0057507734    1.9310519503
  -0.4901158726    2.8997821487
  -0.4843650992    2.9112836954
  -0.5075218569    4.8749500440
  -0.4466899691    4.7532862685
  -0.0051435441    3.8701934185
   0.4784690905    2.9029681492
   0.4824955348    2.8949152607
   0.5987811429    4.6337943472
  -0.0386305319    5.9086176968
   0.9724808346    3.8863949638
   0.9732368476    3.8848829378
   0.0134848755    1.9474660348
  -0.5012514121    2.9769386099
  -0.4414811168    2.8573980193
   0.0608318878    5.7683299823
   0.5023783128    4.8852371323
   0.9859909474    3.9180118630
   0.9900173917    3.9099589744
  -0.6374116748    4.7110554109
   0.3736996917    2.6888326779
   0.3744557047    2.6873206520
  -0.5147362875    2.9499688589
  -0.4549659923    2.8304282684
  -0.0042058902    1.9267885312
  -0.8151794978    3.5487357463
  -0.6592876355    3.2369520218
   0.0597702953    3.8599008434
  -0.8109736076    3.5571475267
  -0.6550817453    3.2453638022
   0.4415464250    4.7635733567
   0.9251590596    3.7963480875
   0.9291855039    3.7882951989
  -0.0045666696    1.9280040567
  -1.0088659227    3.9366025629
  -0.5126777804    2.9442262784
  -1.0042992531    3.9457359021
  -0.5081111108    2.9533596176
   0.4836126346    2.9132552375
   0.4876390789    2.9052023489
   0.1558918622    4.8673110173
   0.4961881423    4.9619581237
   0.0040264443    1.9379770796
   1.0111113665    3.9636560275
   1.0118673795    3.9621440016
   0.0007560130    1.9399212685
  -0.0073779206    1.9339113231
  -0.9984690047    3.9160934914
  -0.4306372075    2.7804298969
  -0.9910910841    3.9308493325
  -0.4232592869    2.7951857380
  -0.5247111826    4.7478335158
   0.4427077014    2.8129957477
   0.4360961184    2.8262189137
  -0.5423824929    4.7831761363
  -0.1111447876    3.9207007257
  -0.0048196777    1.9269634048
  -0.7407452716    3.3988145926
  -0.7591228299    3.4355697092
  -0.7359255939    3.4084539480
  -0.7543031522    3.4452090647
   0.9674188841    3.8624181129
   0.9608073011    3.8756412789
  -0.0176713103    5.8325985016
   0.4135663951    4.9701230909
   0.0632305028    3.7719374643
   0.4908724160    2.9166536380
   0.4868731018    2.9246522663
  -0.4772139803    4.8528264305
  -0.0183775583    4.9170602524
  -0.0066115830    1.9408035108
  -0.9850901943    3.8977607335
  -0.5538524890    3.0352853228
   0.5678317973    4.7773679063
  -0.9784786113    3.9109838995
  -0.5472409060    3.0485084888
   0.4276419132    2.7901926324
   0.4236425990    2.7981912607
  -0.5404444831    4.7263654249
   0.3286280662    4.7034829526
   0.8606371753    3.6394647343
   0.8565473550    3.6476443749
   0.4312377053    5.0054657115
  -0.0039993142    1.9429074343
  -0.9680863962    3.8710815985
   0.5320091091    2.9822086020
   0.5279192888    2.9903882426
  -0.9640870821    3.8790802268
