# Angle [degrees]   occurrence (total=4)
33.518621                            0
33.618677                            0
33.718733                            0
33.818788                            0
33.918844                            0
34.018899                            0
34.118955                            0
34.219011                            0
34.319066                            0
34.419122                            0
34.519177                            0
34.619233                            0
34.719288                            0
34.819344                            0
34.919400                            0
35.019455                            0
35.119511                            0
35.219566                            0
35.319622                            0
35.419678                            0
35.519733                            0
35.619789                            0
35.719844                            0
35.819900                            0
35.919956                            0
36.020011                            0
36.120067                            0
36.220122                            0
36.320178                            0
36.420233                            0
36.520289                            0
36.620345                            0
36.720400                            0
36.820456                            0
36.920511                            0
37.020567                            0
37.120623                            0
37.220678                            0
37.320734                            0
37.420789                            0
37.520845                            0
37.620901                            0
37.720956                            0
37.821012                            0
37.921067                            0
38.021123                            0
38.121178                            0
38.221234                            0
38.321290                            0
38.421345                            0
38.521401                            0
38.621456                            0
38.721512                            0
38.821568                            0
38.921623                            0
39.021679                            0
39.121734                            0
39.221790                            0
39.321845                            0
39.421901                            0
39.521957                            0
39.622012                            0
39.722068                            0
39.822123                            0
39.922179                            0
40.022235                            0
40.122290                            0
40.222346                            0
40.322401                            0
40.422457                            0
40.522513                            0
40.622568                            0
40.722624                            0
40.822679                            0
40.922735                            0
41.022790                            0
41.122846                            0
41.222902                            0
41.322957                            0
41.423013                            0
41.523068                            0
41.623124                            0
41.723180                            0
41.823235                            0
41.923291                            0
42.023346                            0
42.123402                            0
42.223457                            0
42.323513                            0
42.423569                            0
42.523624                            0
42.623680                            0
42.723735                            0
42.823791                            0
42.923847                            0
43.023902                            0
43.123958                            0
43.224013                            0
43.324069                            0
43.424125                            0
43.524180                            0
43.624236                            0
43.724291                            0
43.824347                            0
43.924402                            0
44.024458                            0
44.124514                            0
44.224569                            0
44.324625                            0
44.424680                            0
44.524736                            0
44.624792                            0
44.724847                            0
44.824903                            0
44.924958                            0
45.025014                            0
45.125069                            0
45.225125                            0
45.325181                            0
45.425236                            0
45.525292                            0
45.625347                            0
45.725403                            0
45.825459                            0
45.925514                            0
46.025570                            0
46.125625                            0
46.225681                            0
46.325737                            0
46.425792                            0
46.525848                            0
46.625903                            0
46.725959                            0
46.826014                            0
46.926070                            0
47.026126                            0
47.126181                            0
47.226237                            0
47.326292                            0
47.426348                            0
47.526404                            0
47.626459                            0
47.726515                            0
47.826570                            0
47.926626                            0
48.026681                            0
48.126737                            0
48.226793                            0
48.326848                            0
48.426904                            0
48.526959                            0
48.627015                            0
48.727071                            0
48.827126                            0
48.927182                            0
49.027237                            0
49.127293                            0
49.227349                            0
49.327404                            0
49.427460                            0
49.527515                            0
49.627571                            0
49.727626                            0
49.827682                            0
49.927738                            0
50.027793                            0
50.127849                            0
50.227904                            0
50.327960                            0
50.428016                            0
50.528071                            0
50.628127                            0
50.728182                            0
50.828238                            0
50.928293                            0
51.028349                            0
51.128405                            0
51.228460                            0
51.328516                            0
51.428571                            0
51.528627                            0
51.628683                            0
51.728738                            0
51.828794                            0
51.928849                            0
52.028905                            0
52.128961                            0
52.229016                            0
52.329072                            0
52.429127                            0
52.529183                            0
52.629238                            0
52.729294                            0
52.829350                            0
52.929405                            0
53.029461                            0
53.129516                            0
53.229572                            0
